"plot_id","X","Y","n_traps","date_set","duration","trapdays","carabidae_n","abax_ovalis","abax_parallelepipedus","abax_parallelus","carabus_auronitens","carabus_auratus","carabus_coriaceus","carabus_intricatus","carabus_irregularis","carabus_nemoralis","carabus_problematicus","carabus_sylvestris","carabus_violaceus","carabus_arcensis","cychrus_attenuatus","cychrus_caraboides","dromius_agilis","harpalus_laevipes","harpalus_latus","leistus_rufomarginatus","molops_elatus","molops_piceus","nebria_brevicollis","nebria_salina","notiophilus_biguttatus","notiophilus_rufipes","pterostichus_niger","pterostichus_aethiops","pterostichus_burmeisteri","pterostichus_oblongopunctatus","pterostichus_madidus","pterostichus_melanarius","pterostichus_cristatus","pterostichus_nigrita","trichotichnus_laevicollis","trichotichnus_nitens","poecilus_cupreus","pterostichus_pumilio","pterostichus_diligens","limodromus_assimilis","calathus_micropterus","licinus_hoffmanseggii","avg_alt","DBHMean","lying_dw_volume","pc_broadleaf","roe_deer","canopycover","for_cover_100ha","for_cover_2500ha","sd_slope","northness"
"CFB001",3413242.15,5298277.51,3,"2020-05-20",34,102,86,43,20,0,6,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,1247,401.8106509,31.94781532,0.352071006,0.080021098,0.77115725,69.751,76.7804632144958,5.28723633796557,-0.933680850362219
"CFB002",3423484.84,5305768.04,3,"2020-05-06",37,111,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,873,240.971875,64.41271313,0.00312500000000004,0.005102041,0.52246525,89.042,81.2318991311583,7.54963679823752,0.654932642394273
"CFB003",3428136.8,5303518.2,2,"2020-05-19",36,72,42,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1226,354.6532258,170.98264,0.288,0.143231074,0.401296,85.886,78.6522382685922,8.97266680350608,0.841985139280697
"CFB005",3447154.13,5296925.25,3,"2020-05-06",33,99,109,22,58,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,806,363.2941176,71.48435654,0.405109489,0.177124381,0.7760165,95.492,85.3494344090495,4.30525545853421,0.619250556244282
"CFB007",3424822.67,5304936.82,3,"2020-05-19",36,108,99,13,33,0,15,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,1334,322.3979592,269.7335717,0.602040816,0.016803822,0.17876325,71.954,78.6828714075402,4.91871673852407,-0.462843614554929
"CFB008",3422351.18,5304411,3,"2020-05-19",36,108,106,15,37,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,1295,276.6393089,32.97036873,0.09287257,0.077815756,0.6248025,74.532,78.5656277129015,11.5329422124863,0.925959252685308
"CFB009",3441903.82,5340794.55,1,"2020-05-07",34,34,17,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,716,225.7333333,32.59767972,0.266666667,0.188512745,0.76737175,98.171,86.2090345084141,4.69880848298409,0.0976982969895137
"CFB010",3419957.69,5307598.23,3,"2020-04-23",36,108,48,13,16,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,713,400.6805556,41.12633787,0.143518519,0.02140474,0.679479,86.836,79.47937335979,7.84627382667989,0.893942681975802
"CFB011",3405056.69,5292654.46,3,"2020-05-18",36,108,173,26,41,0,25,2,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,2,42,0,0,0,0,2,0,0,0,0,0,0,904,294.9235294,51.17098507,0.340175953,0.14527245,0.786114,92.199,82.0419985517741,4.77213634235238,-0.189773076307335
"CFB014",3418231.73,5320552.55,2,"2020-04-20",36,72,13,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,512,369.36,89.98648829,0.301818182,0.125329914,0.82294125,99.83,78.9122912291229,3.40568409807282,0.436121185869335
"CFB015",3430252.07,5305859.56,3,"2020-05-14",39,117,25,7,5,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1069,235.3464567,14.28086552,0.267532468,0.138899078,0.522072,82.667,83.6081641143808,5.96186755315052,-0.468214663834074
"CFB016",3412563.32,5300550.47,2,"2020-05-20",34,68,64,3,10,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,947,288.0801394,77.33833333,0.849315068,0.040123006,0.7828435,99.67,81.914416937381,1.81333002222883,-0.163037198424056
