"species","forest_specialist","montane_specialist","flight","body_length","redlisted_bw","redlisted_de","redlisted"
"abax_ovalis","yes","no","brachypterous",13,"LC","LC",NA
"abax_parallelepipedus","yes","no","brachypterous",20,"LC","LC",NA
"abax_parallelus","yes","no","brachypterous",15,"LC","LC",NA
"carabus_auronitens","yes","yes","brachypterous",26,"LC","LC",NA
"carabus_auratus","no","no","brachypterous",23.5,"LC","LC",NA
"carabus_coriaceus","yes","no","brachypterous",37,"LC","LC",NA
"carabus_intricatus","yes","no","brachypterous",30,"VU","VU","R"
"carabus_irregularis","yes","yes","brachypterous",24.5,"LC","VU","R"
"carabus_nemoralis","yes","no","brachypterous",23,"LC","LC",NA
"carabus_problematicus","yes","no","brachypterous",25,"LC","LC",NA
"carabus_sylvestris","yes","yes","brachypterous",24,"LC","LC",NA
"carabus_violaceus","no","no","brachypterous",30,"LC","LC",NA
"carabus_arcensis","yes","no","brachypterous",18,"NT","VU","R"
"cychrus_attenuatus","yes","yes","brachypterous",14,"LC","LC",NA
"cychrus_caraboides","yes","no","brachypterous",17,"LC","LC",NA
"dromius_agilis","yes","no","flight-able",5.8,"LC","LC",NA
"harpalus_laevipes","yes","no","flight-able",10.4,"NT","LC","R"
"harpalus_latus","yes","no","flight-able",9.5,"LC","LC",NA
"leistus_rufomarginatus","yes","no","flight-able",8.5,"LC","LC",NA
"molops_elatus","yes","no","brachypterous",15,"LC","LC",NA
"molops_piceus","yes","no","brachypterous",11.5,"LC","LC",NA
"nebria_brevicollis","no","no","flight-able",12,"LC","LC",NA
"nebria_salina","no","no","flight-able",11,"LC","LC",NA
"notiophilus_biguttatus","yes","no","flight-able",4.5,"LC","LC",NA
"notiophilus_rufipes","yes","no","flight-able",4.75,"NT","LC","R"
"pterostichus_niger","no","no","flight-able",18,"LC","LC",NA
"pterostichus_aethiops","yes","yes","brachypterous",13.25,"LC","LC",NA
"pterostichus_burmeisteri","yes","yes","brachypterous",13.25,"LC","LC",NA
"pterostichus_oblongopunctatus","yes","no","flight-able",10.5,"LC","LC",NA
"pterostichus_madidus","yes","no","brachypterous",15.5,"LC","LC",NA
"pterostichus_melanarius","no","no","flight-able",15,"LC","LC",NA
"pterostichus_cristatus","yes","yes","brachypterous",14.5,"LC","NT","R"
"pterostichus_nigrita","no","no","flight-able",10.25,"LC","LC",NA
"trichotichnus_laevicollis","yes","no","flight-able",7.25,"LC","LC",NA
"trichotichnus_nitens","yes","no","flight-able",8.25,"LC","LC",NA
"poecilus_cupreus","no","no","flight-able",11,"LC","LC",NA
"pterostichus_pumilio","yes","yes","brachypterous",5.3,"LC","LC",NA
"pterostichus_diligens","no","no","flight-able",5.25,"NT","LC","R"
"limodromus_assimilis","yes","no","flight-able",11,"LC","LC",NA
"calathus_micropterus","no","no","brachypterous",7.75,"VU","LC","R"
"licinus_hoffmanseggii","yes","yes","brachypterous",12,"VU","VU","R"
